record_type,schema_version,count_seq,channel_id,gate_open_ticks,gate_close_ticks,gate_domain,counted_edges,source_edge,source_domain,flags
CNT,1,5,2,92096016,92112048,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,6,2,108096016,108112048,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,7,2,124096032,124112048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,8,2,140096032,140112048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,9,2,156096048,156112080,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,10,2,172096048,172112080,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,11,2,188096032,188112064,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,12,2,204096048,204112080,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,13,2,220096032,220112048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,14,2,236096032,236112048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,15,2,252096032,252112064,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,16,2,268096000,268112032,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,17,2,284096032,284112064,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,18,2,300096032,300112064,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,19,2,316096032,316112048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,20,2,332096048,332112064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,21,2,348096016,348112032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,22,2,364096016,364112032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,23,2,380096000,380112032,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,24,2,396096064,396112080,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,25,2,412096032,412112064,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,26,2,428096048,428112080,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,27,2,444096048,444112080,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,28,2,460096048,460112064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,29,2,476096016,476112064,rp2040_timer0,10030,R,h1_ocxo_open_loop,16
CNT,1,30,2,492096048,492112080,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,31,2,508096000,508112032,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,32,2,524096048,524112080,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,33,2,540096064,540112096,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,34,2,556096032,556112096,rp2040_timer0,10040,R,h1_ocxo_open_loop,16
CNT,1,35,2,572096048,572112080,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,36,2,588096016,588112032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,37,2,604096064,604112080,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,38,2,620096016,620112032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,39,2,636096048,636112064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,40,2,652096016,652112064,rp2040_timer0,10030,R,h1_ocxo_open_loop,16
CNT,1,41,2,668096032,668112080,rp2040_timer0,10030,R,h1_ocxo_open_loop,16
CNT,1,42,2,684096032,684112064,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,43,2,700096016,700112048,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,44,2,716096016,716112032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,45,2,732096048,732112112,rp2040_timer0,10040,R,h1_ocxo_open_loop,16
CNT,1,46,2,748096032,748112048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,47,2,764096032,764112064,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,48,2,780096080,780112112,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,49,2,796096032,796112048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,50,2,812096032,812112048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,51,2,828096000,828112032,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,52,2,844096016,844112096,rp2040_timer0,10050,R,h1_ocxo_open_loop,16
CNT,1,53,2,860096032,860112064,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,54,2,876096064,876112096,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,55,2,892096000,892112032,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,56,2,908096048,908112064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,57,2,924096048,924112080,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,58,2,940096000,940112032,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,59,2,956096048,956112080,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,60,2,972096032,972112064,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,61,2,988096016,988112048,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,62,2,1004096000,1004112080,rp2040_timer0,10050,R,h1_ocxo_open_loop,16
CNT,1,63,2,1020096016,1020112048,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,64,2,1036096016,1036112048,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,65,2,1052096048,1052112080,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,66,2,1068096048,1068112080,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,67,2,1084096016,1084112080,rp2040_timer0,10040,R,h1_ocxo_open_loop,16
CNT,1,68,2,1100096032,1100112064,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,69,2,1116096048,1116112064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
