record_type,schema_version,count_seq,channel_id,gate_open_ticks,gate_close_ticks,gate_domain,counted_edges,source_edge,source_domain,flags
CNT,1,5,2,92096000,92112048,rp2040_timer0,10030,R,h1_ocxo_open_loop,16
CNT,1,6,2,108096032,108112096,rp2040_timer0,10040,R,h1_ocxo_open_loop,16
CNT,1,7,2,124096032,124112064,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,8,2,140096000,140112032,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,9,2,156096016,156112032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,10,2,172096000,172112032,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,11,2,188096048,188112064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,12,2,204096064,204112080,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,13,2,220096000,220112032,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,14,2,236096016,236112032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,15,2,252096048,252112064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,16,2,268096016,268112032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,17,2,284096000,284112016,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,18,2,300096032,300112048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,19,2,316096048,316112064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,20,2,332096032,332112064,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,21,2,348096048,348112064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,22,2,364096016,364112032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,23,2,380096032,380112048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,24,2,396096032,396112048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,25,2,412096064,412112080,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,26,2,428096064,428112080,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,27,2,444096048,444112080,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,28,2,460096032,460112064,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,29,2,476096048,476112064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,30,2,492096032,492112048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,31,2,508096000,508112016,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,32,2,524096048,524112064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,33,2,540096064,540112080,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,34,2,556096000,556112032,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,35,2,572096048,572112064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,36,2,588096016,588112048,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,37,2,604096064,604112080,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,38,2,620096048,620112064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,39,2,636096000,636112016,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,40,2,652096032,652112048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,41,2,668096048,668112064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,42,2,684096032,684112048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,43,2,700096048,700112064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,44,2,716096016,716112032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,45,2,732096016,732112032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,46,2,748096032,748112064,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,47,2,764096032,764112064,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,48,2,780096048,780112064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,49,2,796096048,796112064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,50,2,812096048,812112064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,51,2,828096032,828112048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,52,2,844096000,844112016,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,53,2,860096032,860112048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,54,2,876096048,876112080,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
CNT,1,55,2,892096016,892112032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,56,2,908096000,908112016,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,57,2,924096064,924112080,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,58,2,940096016,940112032,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,59,2,956096048,956112064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,60,2,972096048,972112064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,61,2,988096048,988112064,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,62,2,1004096032,1004112048,rp2040_timer0,10010,R,h1_ocxo_open_loop,16
CNT,1,63,2,1020096032,1020112064,rp2040_timer0,10020,R,h1_ocxo_open_loop,16
